Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11769535,18:11:01.30,0,0,Main,-4.818056,499.810729,0.000000,1.830367,1397.845447,0.000000,101.859657,0.107623,1.111325,25.219581,1.876755,0.730038,34.192725,44.941329
11769538,18:11:01.30,0,0,Main,-4.272223,501.004791,0.000000,0.887245,1396.310138,0.000000,100.660452,0.153771,1.072017,25.234102,1.882170,0.729961,34.192725,44.943542
11769538,18:11:01.30,0,0,Main,-4.272223,501.004791,0.000000,0.887245,1396.310138,0.000000,100.660452,0.153771,1.072017,25.234102,1.882170,0.729961,34.192725,44.943542
11769544,18:11:01.30,0,0,Main,-2.771182,501.601821,0.000000,1.264494,1396.264982,0.000000,99.322877,0.038400,0.938369,25.237518,1.881678,0.730728,34.192725,44.943542
11769570,18:11:01.30,0,0,Main,-1.725002,503.806243,0.000000,0.792933,1395.677952,0.000000,100.383712,-0.100046,1.370760,25.245206,1.882662,0.734562,34.192725,44.943542
11769592,18:11:01.30,0,0,Main,-3.407987,501.234418,0.000000,-0.385969,1398.387321,0.000000,101.444548,0.246069,1.402206,25.220862,1.880201,0.732798,34.192725,44.684687
11769651,18:11:01.30,0,0,Main,-1.315627,504.127721,0.000000,0.227060,1396.264982,0.000000,100.245343,0.176846,1.417930,25.238372,1.881678,0.733872,34.192725,44.943542
11769652,18:11:01.30,0,0,Main,-3.135071,501.831449,0.000000,-0.951843,1397.755135,0.000000,100.844945,0.161463,1.417930,25.224706,1.883155,0.733565,34.192725,44.943542
11769653,18:11:01.30,0,0,Main,-3.135071,501.831449,0.000000,-0.951843,1397.755135,0.000000,100.844945,0.161463,1.417930,25.224706,1.883155,0.733565,34.192725,44.943542
11769658,18:11:01.30,0,0,Main,-3.317015,500.407760,0.000000,0.321372,1398.793726,0.000000,101.306178,0.215303,1.417930,25.215737,1.881924,0.731571,34.192725,44.943542
11769689,18:11:01.30,0,0,Main,-4.772570,500.453685,0.000000,-0.385969,1399.967786,0.000000,102.551506,-0.038514,1.048432,25.220008,1.877001,0.728581,34.192725,44.943542
11769691,18:11:01.30,0,0,Main,-4.909028,500.361834,0.000000,-0.951843,1399.832317,0.000000,101.767410,0.115314,1.079879,25.217872,1.880201,0.730805,34.192725,44.943542
11769691,18:11:01.30,0,0,Main,-4.909028,500.361834,0.000000,-0.951843,1399.832317,0.000000,101.767410,0.115314,1.079879,25.217872,1.880201,0.730805,34.192725,44.943542
11769692,18:11:01.30,0,0,Main,-4.909028,500.361834,0.000000,-0.951843,1399.832317,0.000000,101.767410,0.115314,1.079879,25.217872,1.880201,0.730805,34.192725,44.943542
11769695,18:11:01.30,0,0,Main,-4.909028,500.361834,0.000000,-0.951843,1399.832317,0.000000,101.767410,0.115314,1.079879,25.217872,1.880201,0.730805,34.192725,44.943542
11769698,18:11:01.30,0,0,Main,-4.909028,501.096642,0.000000,0.132748,1398.884038,0.000000,101.767410,0.207611,1.048432,25.221716,1.876509,0.730651,34.192725,44.943542
11769722,18:11:01.30,0,0,Main,-0.542364,502.795883,0.000000,2.113304,1395.452171,0.000000,99.461247,-0.061589,1.119187,25.248623,1.884878,0.732721,34.192725,44.684687
11769747,18:11:01.30,0,0,Main,-1.088197,503.346988,0.000000,0.698621,1396.129513,0.000000,99.322877,-0.169269,1.331451,25.241789,1.884139,0.733412,34.192725,44.684687
11769748,18:11:01.30,0,0,Main,-1.497572,503.301063,0.000000,0.557153,1396.219826,0.000000,99.645740,-0.138503,1.355036,25.241789,1.882416,0.734715,34.192725,44.684687
11769749,18:11:01.30,0,0,Main,-1.497572,503.301063,0.000000,0.557153,1396.219826,0.000000,99.645740,-0.138503,1.355036,25.241789,1.882416,0.734715,34.192725,44.684687
11769755,18:11:01.30,0,0,Main,-3.044098,501.923299,0.000000,-0.574594,1397.393885,0.000000,100.706575,0.184537,1.394345,25.225560,1.885370,0.733028,34.192725,44.684687
11769756,18:11:01.30,0,0,Main,-3.044098,501.923299,0.000000,-0.574594,1397.393885,0.000000,100.706575,0.184537,1.394345,25.225560,1.885370,0.733028,34.192725,44.684687
11769756,18:11:01.30,0,0,Main,-3.044098,501.923299,0.000000,-0.574594,1397.393885,0.000000,100.706575,0.184537,1.394345,25.225560,1.885370,0.733028,34.192725,44.684687
11769760,18:11:01.30,0,0,Main,-3.226043,500.867014,0.000000,2.113304,1398.297008,0.000000,101.444548,-0.007749,1.551578,25.219153,1.879709,0.733335,34.192725,44.684687
11769786,18:11:01.30,0,0,Main,-4.454167,500.729238,0.000000,0.085592,1399.335600,0.000000,101.675164,0.222994,1.355036,25.212747,1.874786,0.731341,34.192725,44.684687
11769812,18:11:01.30,0,0,Main,-3.771876,502.061076,0.000000,1.028714,1396.039201,0.000000,100.706575,0.153771,1.001262,25.237518,1.879463,0.731571,34.189961,44.943542
