Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57205572,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,2.095153,18.847799,0.042217,25.357355
57205742,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,1.180030,18.810515,0.042825,25.353118
57207012,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,1.820616,18.788059,0.041456,25.361168
57207192,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.683348,18.954569,0.041000,25.356508
57207202,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.683348,18.954569,0.041000,25.356508
57207222,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.683348,18.954569,0.041000,25.356508
57207252,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.683348,18.954569,0.041000,25.356508
57207282,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263417,1.683348,18.954569,0.041000,25.356508
57208052,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,2.095153,18.798651,0.042673,25.366253
57208212,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261211,1.180030,18.893981,0.040695,25.360745
57208222,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261211,1.180030,18.893981,0.040695,25.360745
57208242,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261211,1.180030,18.893981,0.040695,25.360745
57208282,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261211,1.180030,18.893981,0.040695,25.360745
57208292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261211,1.180030,18.893981,0.040695,25.360745
57208962,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57208992,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57209012,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57209032,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57209042,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57209062,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263341,1.454567,18.883813,0.041912,25.359050
57209102,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265851,1.683348,18.799499,0.042217,25.362016
57209142,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265851,1.683348,18.799499,0.042217,25.362016
57209323,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.267297,2.186665,18.810515,0.040619,25.364981
57210092,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264482,1.591835,18.877458,0.040771,25.356084
57210112,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
57210122,01:25:47.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264254,1.408811,18.882542,0.041836,25.358626
